Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;;
Ontology-Based Data Access with Databases: A Short Course;Reasoning Web. Semantic Technologies for Intelligent Data Access;;;;10.1007/978-3-642-39784-4_5;Roman KontchakovMariano Rodr«guez-MuroMichael Zakharyaschev;2013;http://link.springer.com/chapter/10.1007/978-3-642-39784-4_5;Chapter;;;;
Semantic web reasoners and languages;Artificial Intelligence Review;;35;4;10.1007/s10462-010-9197-3;R. B. MishraSandeep Kumar;2011;http://link.springer.com/article/10.1007/s10462-010-9197-3;Article;;;;
Towards Formal Ontologies Requirements with Multiple Perspectives;Flexible Query Answering Systems;;;;10.1007/978-3-540-25957-2_13;Ahmed AraraDjamal Benslimane;2004;http://link.springer.com/chapter/10.1007/978-3-540-25957-2_13;Chapter;;;;
Modeling Ontological Structures with Type Classes in Coq;Conceptual Structures for STEM Research and Education;;;;10.1007/978-3-642-35786-2_11;Richard DapoignyPatrick Barlatier;2013;http://link.springer.com/chapter/10.1007/978-3-642-35786-2_11;Chapter;;;;
Formal Semantics of SGs;Graph-based Knowledge Representation;;;;10.1007/978-1-84800-286-9_4;;2009;http://link.springer.com/chapter/10.1007/978-1-84800-286-9_4;Chapter;;;;
Semantic Mapping with a Probabilistic Description Logic;Advances in Artificial Intelligence É?? SBIA 2010;;;;10.1007/978-3-642-16138-4_7;Rodrigo PolastroFabiano Corr«¶aFabio CozmanJun Okamoto Jr.;2010;http://link.springer.com/chapter/10.1007/978-3-642-16138-4_7;Chapter;;;;
A Strategy to Revise the Constraints of the Mediated Schema;Conceptual Modeling - ER 2009;;;;10.1007/978-3-642-04840-1_21;Marco A. CasanovaTanara LauschnerLuiz Andr«∏ P. Paes LemeKarin K. BreitmanAntonio L. FurtadoV«Ωnia M. P. Vidal;2009;http://link.springer.com/chapter/10.1007/978-3-642-04840-1_21;Chapter;;;;
OWL for the Novice: A Logical Perspective;Semantic Web;;;;10.1007/978-0-387-48438-9_9;Jeff Z. Pan;2007;http://link.springer.com/chapter/10.1007/978-0-387-48438-9_9;Chapter;;;;
Multimedia Ontology Engineering;Description Logics in Multimedia Reasoning;;;;10.1007/978-3-319-54066-5_5;Leslie F. Sikos;2017;http://link.springer.com/chapter/10.1007/978-3-319-54066-5_5;Chapter;;;;
Tractable Query Answering over Conceptual Schemata;Conceptual Modeling - ER 2009;;;;10.1007/978-3-642-04840-1_15;Andrea Cal«™Georg GottlobAndreas Pieris;2009;http://link.springer.com/chapter/10.1007/978-3-642-04840-1_15;Chapter;;;;
Semantic Representation of Multimedia Content;Knowledge-Driven Multimedia Information Extraction and Ontology Evolution;;;;10.1007/978-3-642-20795-2_2;Kalliopi DalakleidiStamatia DasiopoulouGiorgos StoilosVassilis TzouvarasGiorgos StamouYiannis Kompatsiaris;2011;http://link.springer.com/chapter/10.1007/978-3-642-20795-2_2;Chapter;;;;
Model Driven Engineering with Ontology Technologies;Reasoning Web. Semantic Technologies for Software Engineering;;;;10.1007/978-3-642-15543-7_3;Steffen StaabTobias WalterGerd Gr«ÙnerFernando Silva Parreiras;2010;http://link.springer.com/chapter/10.1007/978-3-642-15543-7_3;Chapter;;;;
Semantic Annotations in Web Services;Semantic Web Services; Processes and Applications;;;10.1007/978-0-387-34685-4_2;Meenakshi Nagarajan;2006;http://link.springer.com/chapter/10.1007/978-0-387-34685-4_2;Chapter;;;;
